1.0014, 0.026588
1.0075, 0.033973
1.0165, 0.050222
1.0120, 0.042836
1.0210, 0.058346
1.0255, 0.065731
1.0300, 0.073855
1.0345, 0.083456
1.0390, 0.090842
1.0420, 0.10118
1.0480, 0.11152
1.0540, 0.12112
1.0586, 0.12851
1.0631, 0.13737
1.0691, 0.14402
1.0751, 0.15362
1.0811, 0.16322
1.0871, 0.17356
1.0947, 0.18390
1.1037, 0.19572
1.1112, 0.20532
1.1172, 0.21418
1.1248, 0.22378
1.1323, 0.23338
1.1383, 0.24151
1.1458, 0.25037
1.1549, 0.25923
1.1639, 0.26809
1.1730, 0.27843
1.1820, 0.28730
1.1910, 0.29468
1.2001, 0.30207
1.2091, 0.30798
1.2182, 0.31536
1.2288, 0.32127
1.2393, 0.32866
1.2499, 0.33530
1.2604, 0.34195
1.2710, 0.34786
1.2861, 0.35524
1.2997, 0.36337
1.3117, 0.37001
1.3253, 0.37666
1.3374, 0.38257
1.3479, 0.38774
1.3600, 0.39365
1.3751, 0.39956
1.3872, 0.40473
1.4023, 0.41137
1.4174, 0.41654
1.4295, 0.42171
1.4446, 0.42541
1.4491, 0.42688
