0.99992, 0.026588
1.0090, 0.033973
1.0135, 0.042097
1.0165, 0.051699
1.0225, 0.060561
1.0285, 0.070901
1.0330, 0.080502
1.0375, 0.089365
1.0435, 0.099705
1.0480, 0.10931
1.0540, 0.12038
1.0601, 0.12999
1.0661, 0.14106
1.0721, 0.14993
1.0796, 0.16027
1.0871, 0.17061
1.0947, 0.18021
1.1007, 0.18981
1.1067, 0.20089
1.1157, 0.21049
1.1248, 0.21935
1.1368, 0.22747
1.1534, 0.23560
1.1685, 0.24372
1.1821, 0.25406
1.1972, 0.26071
1.2123, 0.26809
1.2289, 0.27548
1.2455, 0.28213
1.2636, 0.28804
1.2772, 0.29468
1.2938, 0.29838
