x,y,px,py
12.603341911170906,70.48361317530949,576.3707267159509,86.83015828202542
12.367453077799917,70.48538227850555,567.7294604597475,86.83015828202542
12.096200899426417,70.4032961461139,557.7920082207593,87.26221368354419
11.80138122238176,70.23726246165273,546.9904847351905,88.12634426481023
11.506581417359232,69.98710817693427,536.1889612496218,89.42253024759505
11.211759580239553,69.8210764340668,525.387358651139,90.28665093974683
10.893350371516899,69.65522159018131,513.7216848060757,91.15077163189862
10.574941163249088,69.48936482089871,502.0560109610124,92.01490221316466
10.291916251361165,69.32324460424539,491.6865626551909,92.87902290531646
10.008910132140125,69.07300187003591,481.3170747929124,94.17520888810127
9.749472591855174,68.90670475440055,471.81169773367145,95.03932958025307
9.218823698415603,68.49007452156934,452.3689079918993,97.19964614430391
8.912229127781496,68.24000869444016,441.13530932658324,98.49583212708872
8.593839791535816,67.99003132490027,429.46963548151996,99.79201810987354
8.216517451541446,67.57225310929685,415.6436252941773,101.95232478481014
7.815567995445,67.32289491858711,400.9535438602541,103.24851076759495
7.450020549040075,66.98914884565168,387.5596088526587,104.97676204101278
7.025521306219581,66.57172444420883,372.00537705924097,107.13706871594938
6.624630387289118,66.07000061003129,357.3152560688608,109.72944068151901
6.223740548168746,65.56827676775545,342.6251746349376,112.32181264708863
5.846438080651348,65.0663760264976,328.79916444759493,114.91418461265826
5.457361799809434,64.48044120907633,314.541118636962,117.9386218688609
5.080100156601228,63.81029733380849,300.71514800607633,121.39511452658232
4.749955799243074,63.39216529594619,288.61739898126575,123.55542120151893
4.467029169475078,62.8054343845162,278.24791111898725,126.57985845772156
4.148719322682446,62.218968837755774,266.58223727392397,129.60429571392422
3.8068607685210085,61.46443899756106,254.0524526258231,133.4928437731644
3.4886304111814215,60.54148527358009,242.38677878075978,138.24553230278488
3.182174946521596,59.70256754306139,231.15318011544375,142.56614565265807
2.8993476782287795,58.695227854153565,220.78369225316527,147.75088958379732
2.6282942237153177,57.77192031601203,210.84624001417706,152.5035781134178
2.4279486660851504,57.100447691999165,203.50119929721544,155.96008066025345
2.1570155244242444,55.67241269342135,193.5637866146842,163.30512137721507
1.9214049039114967,54.496474139044096,184.9225203584808,169.35399588962034
1.6622665287718514,53.06834683208276,175.41718285569686,176.69905638481046
1.462098741350135,51.63978111226405,168.07210258227826,184.04409710177205
1.2738261621897855,49.7905123730886,161.15913704506391,193.549474161013
1.073778148625263,47.85721534608852,153.81407654987382,203.48688684354423
0.8973588722424753,45.75549250585594,147.33314663594976,214.28844988556997
0.7680772927272322,43.8216647495167,142.5804581063293,224.2258625681012
0.6388553310977458,41.63546749081709,137.82776957670882,235.45948101164575
0.5214281350798359,39.4491817745282,133.5071562268356,246.6930994551903
0.4394239001308271,37.09438949305515,130.48272885974723,258.79082870177234
0.369174146844088,34.907749958556515,127.89035689417759,270.0244471453169
0.28718924401216467,32.46883708087532,124.8659097488607,282.5542317934177
0.2170388526554443,29.861586843501748,122.27353778329108,295.94816680101314
0.17045757877533554,27.338287996844528,120.54529639898749,308.9100068506327
0.13553142644684477,25.403744898448206,119.24911041620268,318.84745908962094
0.10066488927506231,23.216843850074248,117.95292443341786,330.081057754937
0.06603682000757838,20.020480195435802,116.65673845063306,346.4994003513923
0.02036967461008377,13.627568273441018,114.92849706632947,379.33612510075983
0.031388879627646755,16.908233290260416,115.36055246784825,362.4857073245573
